# Format: "TILE_ID Enum Val":"Position":"Rotation":"Scale"
GridLength: 3.5
GridHeight: 3.5
Tiles: 
10:56,71.25,0:0,1,0:1.5,1,1
25:-14,0,0:0,1,0:1,1,1
25:14,-7,0:0,1,0:1,1,1
25:7,-14,0:0,1,0:1,1,1
25:-21,-21,0:0,1,0:1,1,1
25:-14,-21,0:0,1,0:1,1,1
25:-7,-21,0:0,1,0:1,1,1
25:0,-21,0:0,1,0:1,1,1
25:7,-21,0:0,1,0:1,1,1
25:14,-21,0:0,1,0:1,1,1
25:14,-14,0:0,1,0:1,1,1
25:7,14,0:0,1,0:1,1,1
25:-28,21,0:0,1,0:1,1,1
25:-7,21,0:0,1,0:1,1,1
25:-14,7,0:0,1,0:1,1,1
25:14,14,0:0,1,0:1,1,1
25:21,14,0:0,1,0:1,1,1
25:28,14,0:0,1,0:1,1,1
25:35,14,0:0,1,0:1,1,1
25:56,28,0:0,1,0:1,1,1
25:49,42,0:0,1,0:1,1,1
25:70,28,0:0,1,0:1,1,1
25:35,49,0:0,1,0:1,1,1
25:35,42,0:0,1,0:1,1,1
25:42,49,0:0,1,0:1,1,1
25:42,14,0:0,1,0:1,1,1
25:35,28,0:0,1,0:1,1,1
25:35,35,0:0,1,0:1,1,1
25:35,21,0:0,1,0:1,1,1
25:63,85.25,0:0,1,0:1,1,1
25:105,42,0:0,1,0:1,1,1
25:105,35,0:0,1,0:1,1,1
25:77,28,0:0,1,0:1,1,1
25:91,14,0:0,1,0:1,1,1
25:84,35,0:0,1,0:1,1,1
25:63,14,0:0,1,0:1,1,1
25:70,21,0:0,1,0:1,1,1
25:56,35,0:0,1,0:1,1,1
25:126,63,0:0,1,0:1,1,1
25:133,63,0:0,1,0:1,1,1
25:140,56,0:0,1,0:1,1,1
25:140,49,0:0,1,0:1,1,1
25:77,42,0:0,1,0:1,1,1
25:49,21,0:0,1,0:1,1,1
25:35,71.25,0:0,1,0:1,1,1
25:91,70,0:0,1,0:1,1,1
25:105,70,0:0,1,0:1,1,1
25:133,49,0:0,1,0:1,1,1
25:105,49,0:0,1,0:1,1,1
25:140,21,0:0,1,0:1,1,1
25:126,21,0:0,1,0:1,1,1
25:105,21,0:0,1,0:1,1,1
25:84,21,0:0,1,0:1,1,1
25:84,28,0:0,1,0:1,1,1
25:70,35,0:0,1,0:1,1,1
25:161,7,0:0,1,0:1,1,1
25:140,42,0:0,1,0:1,1,1
25:147,35,0:0,1,0:1,1,1
25:154,35,0:0,1,0:1,1,1
25:154,28,0:0,1,0:1,1,1
25:147,21,0:0,1,0:1,1,1
25:126,28,0:0,1,0:1,1,1
25:112,14,0:0,1,0:1,1,1
25:105,14,0:0,1,0:1,1,1
25:105,28,0:0,1,0:1,1,1
25:147,42,0:0,1,0:1,1,1
25:154,42,0:0,1,0:1,1,1
25:161,42,0:0,1,0:1,1,1
25:161,35,0:0,1,0:1,1,1
25:119,14,0:0,1,0:1,1,1
25:119,35,0:0,1,0:1,1,1
25:133,70,0:0,1,0:1,1,1
25:140,70,0:0,1,0:1,1,1
25:168,70,0:0,1,0:1,1,1
25:182,77,0:0,1,0:1,1,1
25:140,77,0:0,1,0:1,1,1
25:196,56,0:0,1,0:1,1,1
25:182,56,0:0,1,0:1,1,1
25:175,56,0:0,1,0:1,1,1
25:168,56,0:0,1,0:1,1,1
25:154,56,0:0,1,0:1,1,1
25:147,56,0:0,1,0:1,1,1
25:203,84,0:0,1,0:1,1,1
25:196,84,0:0,1,0:1,1,1
25:196,91,0:0,1,0:1,1,1
25:182,91,0:0,1,0:1,1,1
25:161,91,0:0,1,0:1,1,1
25:147,98,0:0,1,0:1,1,1
25:140,98,0:0,1,0:1,1,1
25:126,84,0:0,1,0:1,1,1
25:119,84,0:0,1,0:1,1,1
25:112,84,0:0,1,0:1,1,1
25:105,84,0:0,1,0:1,1,1
25:105,91,0:0,1,0:1,1,1
25:98,91,0:0,1,0:1,1,1
25:91,91,0:0,1,0:1,1,1
25:84,91,0:0,1,0:1,1,1
25:112,98,0:0,1,0:1,1,1
25:119,98,0:0,1,0:1,1,1
25:126,98,0:0,1,0:1,1,1
25:133,105,0:0,1,0:1,1,1
25:140,105,0:0,1,0:1,1,1
25:147,105,0:0,1,0:1,1,1
25:154,105,0:0,1,0:1,1,1
25:175,105,0:0,1,0:1,1,1
25:168,112,0:0,1,0:1,1,1
25:175,119,0:0,1,0:1,1,1
25:182,119,0:0,1,0:1,1,1
25:189,119,0:0,1,0:1,1,1
25:196,119,0:0,1,0:1,1,1
25:210,105,0:0,1,0:1,1,1
25:168,105,0:0,1,0:1,1,1
25:161,112,0:0,1,0:1,1,1
25:231,105,0:0,1,0:1,1,1
25:224,91,0:0,1,0:1,1,1
25:210,91,0:0,1,0:1,1,1
25:203,91,0:0,1,0:1,1,1
25:245,98,0:0,1,0:1,1,1
25:252,98,0:0,1,0:1,1,1
25:259,91,0:0,1,0:1,1,1
25:259,84,0:0,1,0:1,1,1
25:252,84,0:0,1,0:1,1,1
25:238,77,0:0,1,0:1,1,1
25:210,77,0:0,1,0:1,1,1
25:196,77,0:0,1,0:1,1,1
25:189,84,0:0,1,0:1,1,1
25:245,105,0:0,1,0:1,1,1
25:252,91,0:0,1,0:1,1,1
25:252,77,0:0,1,0:1,1,1
25:245,70,0:0,1,0:1,1,1
25:238,63,0:0,1,0:1,1,1
25:231,56,0:0,1,0:1,1,1
25:210,56,0:0,1,0:1,1,1
25:203,56,0:0,1,0:1,1,1
25:161,84,0:0,1,0:1,1,1
25:245,91,0:0,1,0:1,1,1
25:245,84,0:0,1,0:1,1,1
25:224,70,0:0,1,0:1,1,1
25:210,63,0:0,1,0:1,1,1
25:196,63,0:0,1,0:1,1,1
25:147,84,0:0,1,0:1,1,1
25:217,98,0:0,1,0:1,1,1
25:203,70,0:0,1,0:1,1,1
25:210,133,0:0,1,0:1,1,1
25:203,133,0:0,1,0:1,1,1
25:196,133,0:0,1,0:1,1,1
25:203,140,0:0,1,0:1,1,1
25:210,140,0:0,1,0:1,1,1
25:217,140,0:0,1,0:1,1,1
25:231,140,0:0,1,0:1,1,1
25:245,140,0:0,1,0:1,1,1
25:252,133,0:0,1,0:1,1,1
25:252,119,0:0,1,0:1,1,1
25:238,119,0:0,1,0:1,1,1
25:224,119,0:0,1,0:1,1,1
25:210,126,0:0,1,0:1,1,1
25:231,147,0:0,1,0:1,1,1
25:252,147,0:0,1,0:1,1,1
25:266,140,0:0,1,0:1,1,1
25:280,140,0:0,1,0:1,1,1
25:287,133,0:0,1,0:1,1,1
25:273,119,0:0,1,0:1,1,1
25:245,119,0:0,1,0:1,1,1
25:231,126,0:0,1,0:1,1,1
25:238,133,0:0,1,0:1,1,1
25:266,133,0:0,1,0:1,1,1
25:294,133,0:0,1,0:1,1,1
25:294,119,0:0,1,0:1,1,1
25:287,119,0:0,1,0:1,1,1
25:224,126,0:0,1,0:1,1,1
25:224,133,0:0,1,0:1,1,1
25:231,133,0:0,1,0:1,1,1
25:259,133,0:0,1,0:1,1,1
25:238,126,0:0,1,0:1,1,1
25:252,112,0:0,1,0:1,1,1
25:287,112,0:0,1,0:1,1,1
25:287,105,0:0,1,0:1,1,1
25:287,98,0:0,1,0:1,1,1
25:280,98,0:0,1,0:1,1,1
25:273,98,0:0,1,0:1,1,1
25:266,98,0:0,1,0:1,1,1
25:266,105,0:0,1,0:1,1,1
25:259,105,0:0,1,0:1,1,1
25:259,112,0:0,1,0:1,1,1
25:266,112,0:0,1,0:1,1,1
25:294,112,0:0,1,0:1,1,1
25:294,105,0:0,1,0:1,1,1
25:119,49,0:0,1,0:1,1,1
25:112,49,0:0,1,0:1,1,1
25:126,42,0:0,1,0:1,1,1
25:112,35,0:0,1,0:1,1,1
25:70,56,0:0,1,0:1,1,1
25:77,56,0:0,1,0:1,1,1
25:84,56,0:0,1,0:1,1,1
25:91,56,0:0,1,0:1,1,1
25:98,56,0:0,1,0:1,1,1
25:105,56,0:0,1,0:1,1,1
25:112,56,0:0,1,0:1,1,1
25:119,56,0:0,1,0:1,1,1
25:112,42,0:0,1,0:1,1,1
25:119,42,0:0,1,0:1,1,1
25:119,28,0:0,1,0:1,1,1
25:119,21,0:0,1,0:1,1,1
25:112,21,0:0,1,0:1,1,1
25:112,28,0:0,1,0:1,1,1
25:98,21,0:0,1,0:1,1,1
25:91,21,0:0,1,0:1,1,1
25:84,14,0:0,1,0:1,1,1
25:77,14,0:0,1,0:1,1,1
25:77,21,0:0,1,0:1,1,1
25:77,35,0:0,1,0:1,1,1
25:63,28,0:0,1,0:1,1,1
25:56,21,0:0,1,0:1,1,1
25:49,28,0:0,1,0:1,1,1
25:42,28,0:0,1,0:1,1,1
25:42,21,0:0,1,0:1,1,1
25:42,35,0:0,1,0:1,1,1
25:42,42,0:0,1,0:1,1,1
25:49,35,0:0,1,0:1,1,1
25:63,21,0:0,1,0:1,1,1
